Name;Starter_Ideas;Ambition;Trigger;Idea1;Idea2;Idea3;Idea4;Idea5;Idea6;Idea7;Adjective;Country
AYU_ideas;<:cavalry_power:1005098688223383734> Cavalry combat ability = 0.15 && <:liberty_desire_from_subject_deve:1005774040931246191> Liberty desire from subjects development = -0.2;<:diplomatic_annexation_cost:1005773450964643870> Diplomatic Annexation Cost = -0.15;tag = Ayutthaya;White Elephant = <:vassal_income:1005775394147938406> Income from vassals = 0.2;The Corvee System = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.25;Promotion of Trading links = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;Foreign Mercenaries = <:merc_maintenance_modifier:1005774245986566215> Mercenary maintenance = -0.15;Embassies = <:improve_relation_modifier:1005773914078720100> Improve relations = 0.3;Phrai Luang = <:development_cost:1005773438989914184> Development cost = -0.1;Personal Executions = <:harsh_treatment_cost:1005773881447034932> Harsh treatment cost = -0.2;Ayutthayan;Ayutthaya
NOR_ideas;<:global_sailors_modifier:1005773842528079994> National sailors modifier = 0.25 && <:ship_durability:1005120784517316719> Ship durability = 0.10;<:trade_steering:1005775370697572363> Trade Steering = 0.20;tag = Norway;Natural Seamanship = <:naval_morale:1005774954232549396> Morale of navies = 0.20;The Call of our Forefathers = <:range:1005775205530091561> Colonial range = 0.33 && <:may_explore:1005774235756662844> Can recruit explorers and conquistadors. Explorers may explore ocean provinces. = yes;Pioneer Spirit = <:colonists:1005773417997422702> Colonist = 1;Military Shipbuilding = <:global_ship_cost:1005098694091223040> Ship cost = -0.1;Seize the Opportunity = <:global_trade_power:1005773865437376582> Global trade power = 0.1;Encouraged Fishing = <:production_efficiency:1005775011753234442> Production efficiency = 0.1;Write New Sagas = <:prestige:1005120779614163074> Yearly prestige = 1 && <:discipline:1005098692254105711> Discipline = 0.025;Norwegian;Norway
OMA_ideas;<:naval_morale:1005774954232549396> Morale of navies = 0.15 && <:naval_maintenance_modifier:1005774952743567430> Naval maintenance modifier = -0.2;<:blockade_efficiency:1005773292478664804> Blockade Efficiency = 0.33;tag = Oman;Local Merchant Preference = <:trade_steering:1005775370697572363> Trade Steering = 0.33;Securing Timber Supplies = <:global_ship_recruit_speed:1005773844264530010> Shipbuilding time = -0.1;Association With Unbelievers = <:tolerance_heathen:1005101080507600986> Tolerance of Heathens = 2 && <:global_sailors_modifier:1005773842528079994> National sailors modifier = 0.10;Port Security Improvements = <:trade_efficiency:1005098702572093592> Trade efficiency = 0.1;End of the Shipbuilding Guilds = <:light_ship_cost:1005774042625753088> Light ship cost = -0.15 && <:sailor_maintenance_modifer:1005120782411767882> Sailor maintenance = -0.05;Skilled Captains = <:leader_naval_manuever:1005774031766700102> Naval leader maneuver = 1;Expansion of Trade Contacts = <:merchants:1005774255495053442> Merchants = 1;Omani;Oman
KOR_ideas;<:global_own_trade_power:1005773680036556850> Domestic trade power = 0.25 && <:build_cost:1005773315069198356> Construction Cost = -0.1;<:infantry_power:1005773918675669073> Infantry Combat Ability = 0.1;tag = Korea;The Hangeul Alphabet = <:technology_cost:1005120815056044053> Technology cost = -0.1;Grand Code for State Administration = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.10;Hyang'yak System = <:production_efficiency:1005775011753234442> Production efficiency = 0.10;Geobukseon = <:ship_durability:1005120784517316719> Ship durability = 0.1;The Hopae System = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.10;The Kyujanggak = <:idea_cost:1005773900464005170> Idea cost = -0.1;Economic reform = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.10;Korean;Korea
BOH_ideas;<:imperial_authority:1005773903785893990> Imperial authority growth modifier = 0.10 && <:advisor_cost:1005120766569893988> Advisor cost = -0.1;<:leader_land_fire:1005772047043006535> Land leader fire = 1;tag = Bohemia;Compacta of Prague = <:tolerance_heretic:1005120820315697223> Tolerance of Heretics = 3;Elective Monarchy = <:legitimacy:1005774036359454720> Yearly Legitimacy = 1;Wagenburg = <:infantry_power:1005773918675669073> Infantry Combat Ability = 0.10 && <:shock_damage_received:1005120791941230743> Shock damage received = -0.05;Letter of Majesty = <:global_unrest:1005773867131883530> National unrest = -1;Hussite Legacy = <:technology_cost:1005120815056044053> Technology cost = -0.1;The Kutnohorian Deal = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.10;Czech Nationalism = <:same_culture_advisor_cost:1005775261645672508> Cost of advisors with ruler's culture = -0.25;Bohemian;Bohemia
ITA_ideas;<:global_trade_power:1005773865437376582> Global trade power = 0.20 && <:improve_relation_modifier:1005773914078720100> Improve relations = 0.50;<:defensiveness:1005773436997615728> Fort Defence = 0.20;tag = Italy;Not a Geographical Construct = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.10;The Tradition of the Legion = <:infantry_power:1005773918675669073> Infantry Combat Ability = 0.15;Mare Nostrum = <:galley_cost:1005773652287037531> Galley cost = -0.15 && <:galley_power:1005773653985726475> Galley combat ability = 0.20;The Office of Censor = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.33;Italian Tax Reform = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.15;Heir to the Empire = <:prestige:1005120779614163074> Yearly prestige = 1;The Path to Citizenship = <:core_creation:1005098690484113489> Core-Creation Cost = -0.25;Italian;Italy
MJZ_ideas;<:land_morale:1005774027152965652> Morale of armies = 0.1 && <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.15;<:land_attrition:1005774022136582144> Land Attrition = -0.1;tag = Jianzhou && tag = Haixi && tag = Orochoni && tag = Xibe && tag = Nanai && ;Sons of the Mountain = <:hostile_attrition:1005773891261710396> Attrition for enemies = 1.0;The Queue = Horde Unity = 0.5 && <:legitimacy:1005774036359454720> Yearly Legitimacy = 0.5 && <:global_unrest:1005773867131883530> National unrest = -1;Foreign Service = <:leader_land_shock:1005772049727369336> Land leader shock = 1;The Borderlands = <:manpower_recovery_speed:1005098699531243600> Manpower recovery speed = 0.2;Wives and Concubines = <:heir_chance:1005773886434058311> Chance of new heir = 0.5;Generosity of the Warlord = <:improve_relation_modifier:1005773914078720100> Improve relations = 0.25;Jurchen Banner Armies = <:amount_of_banners:1005773263303086182> Possible Manchu banners = 0.15;Jianzhou;Jianzhou
MCH_ideas;<:leader_land_shock:1005772049727369336> Land leader shock = 1 && <:land_maintenance_modifier:1005774025739489320> Land Maintenance modifier = -0.05;<:land_morale:1005774027152965652> Morale of armies = 0.15;tag = Manchu;United Three Jurchens = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.15 && <:core_creation:1005098690484113489> Core-Creation Cost = -0.15;The Eight Banners = <:amount_of_banners:1005773263303086182> Possible Manchu banners = 0.25;Manchu Alphabet = <:global_institution_spread:1005773668795813931> Institution spread = 0.05 && <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1;The Later Jin = Horde Unity = 1 && <:legitimacy:1005774036359454720> Yearly Legitimacy = 1;Link with the Mongol Dynasty = <:cavalry_power:1005098688223383734> Cavalry combat ability = 0.15;Chinese Learning = <:mil_tech_cost_modifier:1005774262616997929> Military Technology cost = -0.1;The Seven Grievances = <:ae_impact:1005120769891762206> Aggressive expansion impact = -0.1;Manchurian;Manchu
QNG_ideas;<:core_creation:1005098690484113489> Core-Creation Cost = -0.2 && <:ae_impact:1005120769891762206> Aggressive expansion impact = -0.1;<:advisor_cost:1005120766569893988> Advisor cost = -0.15;tag = Qing;Expand the Banners = <:amount_of_banners:1005773263303086182> Possible Manchu banners = 0.3;The Green Standard Army = <:manpower_recovery_speed:1005098699531243600> Manpower recovery speed = 0.15 && <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.15;Pigtail or Death = <:global_unrest:1005773867131883530> National unrest = -2;Bogda Khan = <:years_of_nationalism:1005775426955784282> Years of separatism = -5 && <:legitimacy:1005774036359454720> Yearly Legitimacy = 1 && Meritocracy = 1;Chinese Laws = <:administrative_efficiency:1005120763071832145> Administrative Efficiency = 0.05;The Viceroyalties = <:state_maintenance_modifier:1005120805161681037> State maintenance = -0.15 && <:global_autonomy:1005773659518021773> Monthly autonomy change = -0.05;The Ten Great Campaigns = <:land_morale:1005774027152965652> Morale of armies = 0.15 && <:prestige_from_land:1005775004874571826> <:prestige:1005120779614163074> Yearly prestige from land battles = 0.5;Qing;Qing
PAL_ideas;<:global_tax_modifier:1005098696217739294> National tax modifier = 0.10 && <:diplomatic_upkeep:1005773455423180860> Diplomatic relation = 1;<:improve_relation_modifier:1005773914078720100> Improve relations = 0.3;tag = The Palatinate;Imperial Vicar and Archsteward = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;Heidelberg University = <:advisor_cost:1005120766569893988> Advisor cost = -0.1;Center of Reformation in Southern Germany = <:rebel_support_efficiency:1005775208357036062> Rebel support efficiency = 0.20;Bibliotheca Palatina = <:technology_cost:1005120815056044053> Technology cost = -0.05;Heidelberg Catechism = <:global_missionary_strength:1005773673753485373> Missionary strength = 0.02;Hortus Palatinus = <:prestige_decay:1005775002873892884> Yearly <:prestige:1005120779614163074> Yearly prestige decay = -0.01;Mannheim school of Orchestra = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.10;Palatine;The Palatinate
NOV_ideas;<:merc_maintenance_modifier:1005774245986566215> Mercenary maintenance = -0.15 && <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;<:defensiveness:1005773436997615728> Fort Defence = 0.2;tag = Novgorod;Northern Center of Arts = <:prestige:1005120779614163074> Yearly prestige = 1;City of Churches = <:global_missionary_strength:1005773673753485373> Missionary strength = 0.01;Ivan's Hundred = <:republican_tradition:1005775244306432000> Yearly republican tradition = 0.3;Control of the Hanseatic Kontor = <:merchants:1005774255495053442> Merchants = 1 && <:global_trade_power:1005773865437376582> Global trade power = 0.05;Grand Duke's Army = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.20;Funding the Ushkuiniks = <:navy_tradition:1005774958540107819> Yearly navy tradition = 1 && <:privateer_efficiency:1005775010058735687> Privateer efficiency = 0.15;Baltic Shipyard = <:light_ship_cost:1005774042625753088> Light ship cost = -0.20;Novgorodian;Novgorod
ETH_ideas;<:global_autonomy:1005773659518021773> Monthly autonomy change = -0.05 && <:land_attrition:1005774022136582144> Land Attrition = -0.10;<:discipline:1005098692254105711> Discipline = 0.05;tag = Ethiopia;Solomonid Claim = <:prestige:1005120779614163074> Yearly prestige = 1;Negusa Negast = <:heir_chance:1005773886434058311> Chance of new heir = 0.5 && <:legitimacy:1005774036359454720> Yearly Legitimacy = 1;Hostile Borders = <:defensiveness:1005773436997615728> Fort Defence = 0.20 && <:war_exhaustion:1005775395607552072> Monthly war exhaustion = -0.03;Diplomatic Demeanor = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;The Ark of the Covenant = <:missionaries:1005774270720389220> Missionaries = 1;Expansionist Policy = <:core_creation:1005098690484113489> Core-Creation Cost = -0.10;Reformed Armies = <:army_tradition:1005773267652591657> Yearly Army Tradition = 0.5;Ethiopian;Ethiopia
SAV_ideas;<:diplomatic_upkeep:1005773455423180860> Diplomatic relation = 1 && <:improve_relation_modifier:1005773914078720100> Improve relations = 0.25;<:global_tax_modifier:1005098696217739294> National tax modifier = 0.10;tag = Savoy;Repel the French = <:defensiveness:1005773436997615728> Fort Defence = 0.2;The Shroud of Turin = <:papal_influence:1005774980123988038> Yearly papal influence = 1 && <:prestige:1005120779614163074> Yearly prestige = 0.5;Mercenary Tradition = <:merc_maintenance_modifier:1005774245986566215> Mercenary maintenance = -0.15;Crush the Vaudois = <:global_missionary_strength:1005773673753485373> Missionary strength = 0.02;Savoyard Flexibility = <:idea_cost:1005773900464005170> Idea cost = -0.1;Alpine Tolls =   <:global_prov_trade_power_modifier:1005773683152916560> Provincial trade power = 0.10;Savoyard <:legitimacy:1005774036359454720> Yearly Legitimacy = <:legitimacy:1005774036359454720> Yearly Legitimacy = 1;Savoyard;Savoy
SAR_ideas;<:idea_cost:1005773900464005170> Idea cost = -0.1 && <:naval_forcelimit_modifier:1005774951384629288> Naval force limit modifier = 0.2;<:global_tax_modifier:1005098696217739294> National tax modifier = 0.1;tag = Sardinia;From the Judicate = <:land_morale:1005774027152965652> Morale of armies = 0.1;Papal Restoration = <:tolerance_own:1005775364745855036> Tolerance of True Faith = 1 && <:papal_influence:1005774980123988038> Yearly papal influence = 1;The Sardinian Viceroyalty = <:global_unrest:1005773867131883530> National unrest = -2;SAR_and_Cae_impact = -0.1;Piedmontese Ambition = <:core_creation:1005098690484113489> Core-Creation Cost = -0.1;Island of Cathedrals = <:build_cost:1005773315069198356> Construction Cost = -0.1;The Order of Saint Maurice = <:discipline:1005098692254105711> Discipline = 0.05;Sardinian;Sardinia
COR_ideas;<:naval_forcelimit_modifier:1005774951384629288> Naval force limit modifier = 0.2 && <:land_morale:1005774027152965652> Morale of armies = 0.1;<:leader_naval_fire:1005774030172864572> Naval leader fire = 1;tag = Corsica;The Unblinded Moor = <:shock_damage:1005120789978296391> Shock damage = 0.1;The Battle of Meloria = <:naval_morale:1005774954232549396> Morale of navies = 0.15;SAR_and_C;The Corsican League = <:mercenary_manpower:1005774252135419987> Mercenary manpower = 0.25 && <:land_forcelimit_modifier:1005098698046443660> Land force limit modifier = 0.1;The Bank of Saint George = <:inflation_reduction:1005774008735764530> Yearly inflation reduction = 0.1;The Corsican Constitution = <:global_unrest:1005773867131883530> National unrest = -2;True Home of the Revolution = <:global_institution_spread:1005773668795813931> Institution spread = 0.05 && <:max_revolutionary_zeal:1005774067875459072> Maximum revolutionary zeal = 10;Corsican;Corsica
SPI_ideas;<:idea_cost:1005773900464005170> Idea cost = -0.1 && <:improve_relation_modifier:1005773914078720100> Improve relations = 0.25;<:global_tax_modifier:1005098696217739294> National tax modifier = 0.15;tag = Sardinia-Piedmont;Diplomatic Flexibility = <:diplomatic_upkeep:1005773455423180860> Diplomatic relation = 1;Defensive Prowess = <:defensiveness:1005773436997615728> Fort Defence = 0.25;The Shroud of Turin = ;Royal Sardinian Army = <:discipline:1005098692254105711> Discipline = 0.03 && <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.1;Centralized State = <:development_cost:1005773438989914184> Development cost = -0.05 && <:core_creation:1005098690484113489> Core-Creation Cost = -0.1;Piedmontese Manufacturing = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.1;The Risorgimento = <:ae_impact:1005120769891762206> Aggressive expansion impact = -0.1;Sardinian;Sardinia-Piedmont
SAX_ideas;   <:advisor_cost:1005120766569893988> Advisor cost = -0.1 && <:development_cost:1005773438989914184> Development cost = -0.1;<:prestige:1005120779614163074> Yearly prestige = 1.0;tag = Saxony;Albertine and Ernestine lines = <:diplomats:1005773457105113150> Diplomat = 1;Meissner Porcelain = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.1;The Zwinger = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;Wittenberg University =  <:tolerance_heretic:1005120820315697223> Tolerance of Heretics = 3;Corpus Evangelicorum = <:diplomatic_upkeep:1005773455423180860> Diplomatic relation = 1 && <:church_power_modifier:1005773406857347082> Church power modifier = 0.10;The Principal Line = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.10;The Saxon Circle = <:discipline:1005098692254105711> Discipline = 0.05;Saxon;Saxony
LIT_ideas;<:manpower_recovery_speed:1005098699531243600> Manpower recovery speed = 0.15 && <:tolerance_heretic:1005120820315697223> Tolerance of Heretics = 3;<:leader_land_manuever:1005772048376811661> Land leader maneuver = 1;tag = Lithuania;Warlord Dukes = <:leader_land_shock:1005772049727369336> Land leader shock = 1;Auksine Laisve = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1;Magdeburg Laws = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.1;Magnate Estates = <:production_efficiency:1005775011753234442> Production efficiency = 0.1;Lithuanian Hussars = <:cavalry_power:1005098688223383734> Cavalry combat ability = 0.2;Statutes of Lithuania = <:global_unrest:1005773867131883530> National unrest = -2;Lithuanian Renaissance = <:technology_cost:1005120815056044053> Technology cost = -0.05;Lithuanian;Lithuania
MAR_ideas;<:manpower_recovery_speed:1005098699531243600> Manpower recovery speed = 0.15 && <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.10;<:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1;tag = Marathas && tag = Baroda &&TAG = Gwalior &&primary_culture = Marathi &&;Tradition of Military Service = <:cavalry_power:1005098688223383734> Cavalry combat ability = 0.15;Forts of Maharashtra = <:defensiveness:1005773436997615728> Fort Defence = 0.20;Peasant Soldiers = <:infantry_cost:1005773915613831249> Infantry Cost = -0.2;Office of the Peshwa = <:core_creation:1005098690484113489> Core-Creation Cost = -0.15;Strengthen ties with Brahmin Financial Families = <:reform_progress_growth:1005775224496726056> Reform progress growth = 0.15;Reform The Bureaucracy = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.1;Expand Maratha Navy = <:global_ship_cost:1005098694091223040> Ship cost = -0.1;Maratha;Marathas
TAU_ideas;<:leader_land_manuever:1005772048376811661> Land leader maneuver = 1 && <:global_tax_modifier:1005098696217739294> National tax modifier = 0.1;<:core_creation:1005098690484113489> Core-Creation Cost = -0.15;tag = Taungu && tag = Prome && ;Mandala System = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.25;Elephant Warfare = <:cavalry_power:1005098688223383734> Cavalry combat ability = 0.20;Nat Worship = <:religious_unity:1005120781216383077> Religious unity = 0.2;Chakravartin = <:army_tradition:1005773267652591657> Yearly Army Tradition = 0.5;The Hluttaw = <:global_unrest:1005773867131883530> National unrest = -2;Organized Military Campaigns = <:land_attrition:1005774022136582144> Land Attrition = -0.10;Bayingyi = <:infantry_cost:1005773915613831249> Infantry Cost = -0.2;Taunguan;Taungu
AVA_ideas;<:land_morale:1005774027152965652> Morale of armies = 0.1 && <:infantry_cost:1005773915613831249> Infantry Cost = -0.15;<:cavalry_power:1005098688223383734> Cavalry combat ability = 0.15;tag = Ava;Legacy of the Pagan dynasty = <:prestige:1005120779614163074> Yearly prestige = 1;Rajadhiraja = <:land_forcelimit_modifier:1005098698046443660> Land force limit modifier = 0.2;Manu Kye Dhammathat = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.10;Patronize Burmese Literature = <:same_culture_advisor_cost:1005775261645672508> Cost of advisors with ruler's culture = -0.2;Recruit from the Hill Tribes = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.2;Keep the Shan in Line = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;Rein in Provincial Governors = <:global_autonomy:1005773659518021773> Monthly autonomy change = -0.05;Avan;Ava
GRA_ideas;<:global_tax_modifier:1005098696217739294> National tax modifier = 0.15 && <:religious_unity:1005120781216383077> Religious unity = 0.25;<:idea_cost:1005773900464005170> Idea cost = -0.1;tag = Granada;People of the Book = <:tolerance_heathen:1005101080507600986> Tolerance of Heathens = 3;Recover Al Andalus = <:core_creation:1005098690484113489> Core-Creation Cost = -0.15;Beacon of Learning = <:global_institution_spread:1005773668795813931> Institution spread = 0.1;Strait of Gibraltar = <:global_own_trade_power:1005773680036556850> Domestic trade power = 0.1 && <:trade_steering:1005775370697572363> Trade Steering = 0.1;Alhambra = <:build_cost:1005773315069198356> Construction Cost = -0.1;Moors = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.1;Successor Caliphate of Cordoba = <:prestige:1005120779614163074> Yearly prestige = 1;Granadan;Granada
PAP_ideas;<:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1 && <:religious_unity:1005120781216383077> Religious unity = 0.25;<:discipline:1005098692254105711> Discipline = 0.05;tag = The Papal State;Ecclesiastical Primacy = <:tolerance_own:1005775364745855036> Tolerance of True Faith = 2;Papal Investiture and Tithes = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.2;Glory of Rome = <:prestige_decay:1005775002873892884> Yearly <:prestige:1005120779614163074> Yearly prestige decay = -0.01;Donation of Constantine = <:fabricate_claims_cost:1005773631353278484> Cost to fabricate claims = -0.25;Centralize the States = <:production_efficiency:1005775011753234442> Production efficiency = 0.1;The Vatican Museums = <:free_dip_policy:1005773646276612217> Diplomatic free policies = 1;The Holy Father = <:ae_impact:1005120769891762206> Aggressive expansion impact = -0.10;Papal;The Papal State
SER_ideas;<:manpower_recovery_speed:1005098699531243600> Manpower recovery speed = 0.15 && <:reinforce_speed:1005775230482006016> Reinforce speed = 0.15;<:infantry_power:1005773918675669073> Infantry Combat Ability = 0.10;tag = Serbia;Code of Laws = <:global_unrest:1005773867131883530> National unrest = -1;Bastion of Orthodoxy = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1;Home of the Hussars = <:cavalry_cost:1005773403501903894> Cavalry cost = -0.1;Alemannic Guard = <:cavalry_power:1005098688223383734> Cavalry combat ability = 0.15;Gold Mines = <:production_efficiency:1005775011753234442> Production efficiency = 0.1;Mercenary Armies = <:merc_maintenance_modifier:1005774245986566215> Mercenary maintenance = -0.15;Balkan Hajduks = <:land_morale:1005774027152965652> Morale of armies = 0.10;Serbian;Serbia
ORI_ideas;<:production_efficiency:1005775011753234442> Production efficiency = 0.05 && <:shock_damage_received:1005120791941230743> Shock damage received = -0.1;<:trade_steering:1005775370697572363> Trade Steering = 0.20;tag = Orissa;Lord of the Elephants = <:infantry_power:1005773918675669073> Infantry Combat Ability = 0.1;Servitor of Jagannath = <:legitimacy:1005774036359454720> Yearly Legitimacy = 1;Parikshas = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.1;Refined Cloth Production = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.1;Patronize Temple Construction = <:prestige:1005120779614163074> Yearly prestige = 1;Encourage the Salt Trade = <:trade_efficiency:1005098702572093592> Trade efficiency = 0.1;Heritage of the Sadhabas = <:naval_forcelimit_modifier:1005774951384629288> Naval force limit modifier = 0.25;Orissi;Orissa
PUN_ideas;<:religious_unity:1005120781216383077> Religious unity = 0.25 && <:land_morale:1005774027152965652> Morale of armies = 0.10;<:cavalry_power:1005098688223383734> Cavalry combat ability = 0.1;tag = Punjab;Breadbasket of India = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.10;Encourage Indo-Persian Trade = <:trade_efficiency:1005098702572093592> Trade efficiency = 0.1;Punjabi Textile Industry = <:production_efficiency:1005775011753234442> Production efficiency = 0.15;The Khalsa = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.2;Adopt Standardized Gurmukhi Script = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1;Strength of the Misls = <:cavalry_cost:1005773403501903894> Cavalry cost = -0.10;Reforming the Punjabi Army = <:discipline:1005098692254105711> Discipline = 0.05;Punjabi;Punjab
RAG_ideas;<:trade_efficiency:1005098702572093592> Trade efficiency = 0.1 && <:global_foreign_trade_power:1005773662890250351> Trade power abroad = 0.1;<:naval_morale:1005774954232549396> Morale of navies = 0.15;tag = Ragusa;Ordo Marinaritiae = <:navy_tradition:1005774958540107819> Yearly navy tradition = 0.5;Center of Trade = <:global_own_trade_power:1005773680036556850> Domestic trade power = 0.2;Patronage = <:diplomats:1005773457105113150> Diplomat = 1;Ragusan Arsenal = <:naval_forcelimit_modifier:1005774951384629288> Naval force limit modifier = 0.20;Port Gruz = <:global_ship_cost:1005098694091223040> Ship cost = -0.05 && <:global_ship_recruit_speed:1005773844264530010> Shipbuilding time = -0.05;Non Bene Pro Toto Libertas Venditur Auro = <:global_unrest:1005773867131883530> National unrest = -1;Palace of the Rector = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.1;Ragusan;Ragusa
DAL_ideas;<:trade_efficiency:1005098702572093592> Trade efficiency = 0.15 && <:land_morale:1005774027152965652> Morale of armies = 0.1;<:naval_morale:1005774954232549396> Morale of navies = 0.15;tag = Dalmatia;Kingdom of Dalmatia = <:reform_progress_growth:1005775224496726056> Reform progress growth = 0.15 && <:global_unrest:1005773867131883530> National unrest = -1;The Dalmatian Principalities = <:global_foreign_trade_power:1005773662890250351> Trade power abroad = 0.15;The Dalmatian Language = <:num_accepted_cultures:1005098700940509284> Max promoted culture = 2;Center of Art and Literature = <:global_institution_spread:1005773668795813931> Institution spread = 0.1 && <:development_cost:1005773438989914184> Development cost = -0.05;Dalmatian Independent Army = <:infantry_power:1005773918675669073> Infantry Combat Ability = 0.15;The Independent Arsenal = <:naval_forcelimit_modifier:1005774951384629288> Naval force limit modifier = 0.25;Legacy of Illyria = <:core_creation:1005098690484113489> Core-Creation Cost = -0.15;Dalmatian;Dalmatia
RYU_ideas;<:trade_steering:1005775370697572363> Trade Steering = 0.20 && <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;<:prestige_decay:1005775002873892884> Yearly <:prestige:1005120779614163074> Yearly prestige decay = -0.01;tag = Ryukyu;Chinese Investiture = <:ae_impact:1005120769891762206> Aggressive expansion impact = -0.25;Reform the Ryukyuan Religion = <:global_unrest:1005773867131883530> National unrest = -1;Shuri Castle = <:prestige:1005120779614163074> Yearly prestige = 1;Maritime Commercialism = <:trade_range_modifier:1005775272961904760> Trade <:range:1005775205530091561> Colonial range = 0.33;Sign Trade Agreements = <:trade_efficiency:1005098702572093592> Trade efficiency = 0.10;National Academy = <:technology_cost:1005120815056044053> Technology cost = -0.05;The Three Mountains = <:free_leader_pool:1005773647891419136> Leader without upkeep = 1;Ryukyuan;Ryukyu
ASS_ideas;<:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.10 && <:global_unrest:1005773867131883530> National unrest = -1;<:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;tag = Assam;The Buranjis = <:heir_chance:1005773886434058311> Chance of new heir = 0.5;Wet Rice Cultivation = <:development_cost:1005773438989914184> Development cost = -0.1;River Warfare = <:hostile_attrition:1005773891261710396> Attrition for enemies = 1 && <:shock_damage_received:1005120791941230743> Shock damage received = -0.1;Reform the Paik System = <:manpower_recovery_speed:1005098699531243600> Manpower recovery speed = 0.15;Process of Appeal = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1;Land Survey = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.10;Ahom Diplomacy = <:diplomats:1005773457105113150> Diplomat = 1;Assamese;Assam
TUS_ideas;<:papal_influence:1005774980123988038> Yearly papal influence = 2 && <:development_cost:1005773438989914184> Development cost = -0.1;<:discipline:1005098692254105711> Discipline = 0.05;tag = Tuscany && tag = Florence && ;Birthplace of the Renaissance = <:idea_cost:1005773900464005170> Idea cost = -0.05 && <:technology_cost:1005120815056044053> Technology cost = -0.05;Condottieri = <:merc_maintenance_modifier:1005774245986566215> Mercenary maintenance = -0.15;Tuscan Banking = <:interest:1005774014645547138> Interest per annum = -0.5;Patron of the Arts = <:prestige:1005120779614163074> Yearly prestige = 1;Porto Franco = <:trade_efficiency:1005098702572093592> Trade efficiency = 0.15;Administrative Reforms = <:production_efficiency:1005775011753234442> Production efficiency = 0.10;Territorial Ambition = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.25 ;Tuscan;Tuscany
